iter	Passed	Remaining
394	13934	91894
395	13939	91659
396	13943	91423
397	13947	91185
398	13951	90948
399	13956	90717
400	13960	90485
401	13965	90251
402	13969	90023
403	13974	89799
404	13979	89572
405	13984	89346
406	13988	89118
407	13992	88892
408	13996	88666
409	14001	88445
410	14005	88224
411	14009	88001
412	14013	87782
413	14018	87564
414	14022	87348
415	14027	87132
416	14031	86917
417	14036	86701
418	14040	86489
419	14044	86275
420	14049	86063
421	14054	85856
422	14058	85647
423	14062	85439
424	14067	85232
425	14072	85027
426	14077	84827
427	14081	84620
428	14085	84416
429	14089	84211
430	14094	84008
431	14099	83811
432	14103	83614
433	14108	83415
434	14112	83216
435	14117	83019
436	14121	82824
437	14126	82630
438	14130	82434
439	14134	82238
440	14139	82046
441	14143	81852
442	14147	81659
443	14152	81470
444	14156	81283
445	14162	81098
446	14166	80912
447	14171	80727
448	14176	80545
449	14180	80358
450	14184	80171
451	14189	79987
452	14193	79803
453	14198	79623
454	14202	79442
455	14207	79260
456	14211	79079
457	14215	78900
458	14220	78722
459	14224	78545
460	14228	78365
461	14232	78188
462	14237	78014
463	14241	77839
464	14245	77663
465	14250	77490
466	14254	77317
467	14259	77145
468	14263	76973
469	14268	76806
470	14272	76637
471	14278	76474
472	14282	76305
473	14286	76137
474	14291	75968
475	14295	75802
476	14300	75640
477	14304	75473
478	14308	75307
479	14313	75144
480	14318	74983
481	14322	74822
482	14326	74659
483	14331	74497
484	14335	74337
485	14339	74177
486	14343	74016
487	14347	73856
488	14352	73699
489	14357	73546
490	14361	73389
491	14366	73235
492	14371	73082
493	14376	72928
494	14380	72775
495	14384	72620
496	14389	72466
497	14393	72313
498	14397	72162
499	14402	72012
500	14406	71861
501	14410	71710
502	14415	71561
503	14420	71416
504	14424	71267
505	14428	71117
506	14433	70969
507	14437	70825
508	14442	70679
509	14446	70534
510	14451	70393
511	14456	70249
512	14461	70106
513	14466	69967
514	14470	69823
515	14475	69683
516	14479	69542
517	14483	69399
518	14488	69257
519	14492	69116
520	14496	68977
521	14501	68839
522	14505	68698
523	14509	68559
524	14513	68422
525	14519	68290
526	14523	68154
527	14528	68017
528	14532	67882
529	14537	67748
530	14541	67613
531	14545	67478
532	14550	67345
533	14554	67211
534	14558	67079
535	14563	66949
536	14568	66821
537	14573	66689
538	14577	66560
539	14581	66428
540	14586	66298
541	14590	66169
542	14595	66041
543	14599	65913
544	14603	65784
545	14608	65656
546	14612	65530
547	14617	65404
548	14621	65279
549	14626	65152
550	14630	65025
551	14634	64901
552	14638	64776
553	14642	64651
554	14647	64528
555	14651	64404
556	14656	64282
557	14660	64161
558	14665	64039
559	14669	63919
560	14674	63799
561	14678	63677
562	14682	63555
563	14686	63435
564	14691	63315
565	14696	63198
566	14700	63079
567	14704	62960
568	14708	62842
569	14713	62725
570	14718	62612
571	14722	62494
572	14727	62378
573	14731	62262
574	14735	62146
575	14739	62030
576	14744	61915
577	14748	61802
578	14753	61690
579	14758	61576
580	14762	61464
581	14767	61355
582	14772	61243
583	14777	61136
584	14782	61024
585	14786	60912
586	14790	60801
587	14795	60693
588	14800	60583
589	14804	60472
590	14808	60361
591	14813	60255
592	14818	60148
593	14822	60039
594	14827	59931
595	14831	59824
596	14835	59715
597	14839	59607
598	14843	59499
599	14848	59394
600	14853	59288
601	14857	59182
602	14862	59082
603	14867	58978
604	14872	58874
605	14876	58770
606	14881	58667
607	14885	58562
608	14889	58458
609	14894	58357
610	14898	58253
611	14903	58151
612	14907	58050
613	14912	57950
614	14917	57849
615	14921	57748
616	14925	57647
617	14930	57546
618	14934	57447
619	14939	57348
620	14944	57251
621	14948	57150
